Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1µ","C_0603_1608Metric",-26.035000,-29.368750,180.000000,bottom
"C2","1µ","C_0603_1608Metric",-35.560000,-28.575000,0.000000,bottom
"C3","15pF","C_0402_1005Metric",86.240000,-58.700000,90.000000,bottom
"C4","15pF","C_0402_1005Metric",81.740000,-60.400000,90.000000,bottom
"C5","1uF","C_0402_1005Metric",77.840000,-47.600000,180.000000,bottom
"C6","1uF","C_0402_1005Metric",77.840000,-46.500000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",79.716000,-59.499500,-90.000000,bottom
"C8","100nF","C_0402_1005Metric",83.140000,-45.100000,90.000000,bottom
"C10","100nF","C_0402_1005Metric",75.240000,-49.100000,-90.000000,bottom
"C11","100nF","C_0402_1005Metric",75.640000,-53.900000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",80.732000,-59.499500,-90.000000,bottom
"C13","100nF","C_0402_1005Metric",86.828000,-53.400000,0.000000,bottom
"C14","100nF","C_0402_1005Metric",87.471250,-48.200000,0.000000,bottom
"C15","100nF","C_0402_1005Metric",76.440000,-49.100000,-90.000000,bottom
"C16","100nF","C_0402_1005Metric",81.940000,-45.500000,90.000000,bottom
"C17","1uF","C_0402_1005Metric",222.140000,-15.600000,180.000000,bottom
"C19","100nF","C_0402_1005Metric",74.140000,-36.300000,180.000000,bottom
"D1","1N4148","D_SOD-123",-42.703750,-28.575000,180.000000,bottom
"D2","1N4148","D_SOD-123",-10.160000,-26.987500,90.000000,bottom
"D3","1N4148","D_SOD-123",8.890000,-28.575000,90.000000,bottom
"D4","1N4148","D_SOD-123",27.940000,-31.750000,90.000000,bottom
"D5","1N4148","D_SOD-123",46.990000,-33.337500,90.000000,bottom
"D6","1N4148","D_SOD-123",66.040000,-37.243750,90.000000,bottom
"D7","1N4148","D_SOD-123",102.552500,-38.100000,90.000000,bottom
"D8","1N4148","D_SOD-123",121.602500,-34.862500,90.000000,bottom
"D9","1N4148","D_SOD-123",140.652500,-32.481250,90.000000,bottom
"D10","1N4148","D_SOD-123",159.702500,-30.100000,90.000000,bottom
"D11","1N4148","D_SOD-123",178.752500,-30.100000,90.000000,bottom
