Ref,Val,Package,PosX,PosY,Rot,Side
"J2","NA_Conn_01x04_Female","PinHeader_1x04_P2.54mm_Vertical_debug",78.440000,-92.300000,90.000000,top
"KEY1","SW_Push_45deg","MX-Solderable-1U",-38.735000,-23.812500,0.000000,top
"KEY2","SW_Push_45deg","MX-Solderable-1U",-19.685000,-23.812500,0.000000,top
"KEY3","SW_Push_45deg","MX-Solderable-1U",0.240000,-24.250000,-8.000000,top
"KEY4","SW_Push_45deg","MX-Solderable-1U",19.120000,-26.890000,-8.000000,top
"KEY5","SW_Push_45deg","MX-Solderable-1U",37.990000,-29.550000,-8.000000,top
"KEY6","SW_Push_45deg","MX-Solderable-1U",56.830000,-32.180000,-8.000000,top
"KEY7","SW_Push_45deg","MX-Solderable-1U",95.340000,-33.540000,8.000000,top
"KEY8","SW_Push_45deg","MX-Solderable-1U",114.210000,-30.900000,8.000000,top
"KEY9","SW_Push_45deg","MX-Solderable-1U",133.090000,-28.200000,8.000000,top
"KEY10","SW_Push_45deg","MX-Solderable-1U",151.940000,-25.550000,8.000000,top
"KEY11","SW_Push_45deg","MX-Solderable-1U",171.840000,-23.950000,0.000000,top
"KEY12","SW_Push_45deg","MX-Solderable-1U",190.890000,-23.950000,0.000000,top
"KEY13","SW_Push_45deg","MX-Solderable-1U",209.940000,-23.950000,0.000000,top
"KEY14","SW_Push_45deg","MX-Solderable-1.25U",-38.930000,-43.070000,0.000000,top
"KEY15","SW_Push_45deg","MX-Solderable-1U",-17.600000,-43.060000,0.000000,top
"KEY16","SW_Push_45deg","MX-Solderable-1U",2.330000,-43.780000,-8.000000,top
"KEY17","SW_Push_45deg","MX-Solderable-1U",21.140000,-46.400000,-8.000000,top
"KEY18","SW_Push_45deg","MX-Solderable-1U",40.040000,-49.040000,-8.000000,top
"KEY19","SW_Push_45deg","MX-Solderable-1U",58.930000,-51.730000,-8.000000,top
"KEY20","SW_Push_45deg","MX-Solderable-1U",102.710000,-51.750000,8.000000,top
"KEY21","SW_Push_45deg","MX-Solderable-1U",121.590000,-49.100000,8.000000,top
"KEY22","SW_Push_45deg","MX-Solderable-1U",140.440000,-46.400000,8.000000,top
"KEY23","SW_Push_45deg","MX-Solderable-1U",159.290000,-43.750000,8.000000,top
"KEY24","SW_Push_45deg","MX-Solderable-1U",179.290000,-43.200000,0.000000,top
"KEY25","SW_Push_45deg","MX-Solderable-1.75U",205.490000,-43.200000,0.000000,top
"KEY26","SW_Push_45deg","MX-Solderable-1.75U",-37.147500,-62.300000,0.000000,top
"KEY27","SW_Push_45deg","MX-Solderable-1U",-10.953750,-62.300000,0.000000,top
"KEY28","SW_Push_45deg","MX-Solderable-1U",9.090000,-63.950000,-8.000000,top
"KEY29","SW_Push_45deg","MX-Solderable-1U",27.940000,-66.600000,-8.000000,top
"KEY30","SW_Push_45deg","MX-Solderable-1U",46.790000,-69.250000,-8.000000,top
"KEY31","SW_Push_45deg","MX-Solderable-1U",65.690000,-71.900000,-8.000000,top
"KEY32","SW_Push_45deg","MX-Solderable-1U",95.940000,-71.950000,8.000000,top
"KEY33","SW_Push_45deg","MX-Solderable-1U",114.790000,-69.300000,8.000000,top
"KEY34","SW_Push_45deg","MX-Solderable-1U",133.640000,-66.650000,8.000000,top
"KEY35","SW_Push_45deg","MX-Solderable-1U",152.540000,-64.000000,8.000000,top
"KEY36","SW_Push_45deg","MX-Solderable-1U",172.440000,-62.450000,0.000000,top
"KEY37","SW_Push_45deg","MX-Solderable-1U",191.490000,-62.450000,0.000000,top
"KEY38","SW_Push_45deg","MX-Solderable-1.25U",212.890000,-62.450000,0.000000,top
"KEY39","SW_Push_45deg","MX-Solderable-1.25U",-39.810000,-81.550000,0.000000,top
"KEY40","SW_Push_45deg","MX-Solderable-1.25U",-16.010000,-81.550000,0.000000,top
"KEY41","SW_Push_45deg","MX-Solderable-1.25U",22.940000,-85.150000,-8.000000,top
"KEY42","SW_Push_45deg","MX-Solderable-2U-ReversedStabilizers",53.590000,-89.450000,-8.000000,top
"KEY43","SW_Push_45deg","MX-Solderable-2.25U-ReversedStabilizers",110.390000,-89.150000,8.000000,top
"KEY44","SW_Push_45deg","MX-Solderable-1.25U",143.390000,-84.500000,8.000000,top
"KEY45","SW_Push_45deg","MX-Solderable-1.25U",186.990000,-81.700000,0.000000,top
"KEY46","SW_Push_45deg","MX-Solderable-1.25U",210.790000,-81.700000,0.000000,top
