Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C2, C6, C7",0402,5,1uF,C52923
"C10, C11, C12, C13, C14, C15, C16, C3, C8, C9",0402,10,100nF,C307331
"C4, C5",0402,2,20pF,C1554
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D5, D6, D7, D8, D9",D_SOD-123,46,1N4148,C81598
F1,0805,1,"500mA, 6V",C269104
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J2,PinHeader_1x04_P2.54mm_Vertical_debug,1,NA_Conn_01x04_Female,
"KEY1, KEY10, KEY11, KEY12, KEY13, KEY15, KEY16, KEY17, KEY18, KEY19, KEY2, KEY20, KEY21, KEY22, KEY23, KEY24, KEY27, KEY28, KEY29, KEY3, KEY30, KEY31, KEY32, KEY33, KEY34, KEY35, KEY36, KEY37, KEY4, KEY5, KEY6, KEY7, KEY8, KEY9",MX-Solderable-1U,34,SW_Push_45deg,
"KEY14, KEY38, KEY39, KEY40, KEY41, KEY44, KEY45, KEY46",MX-Solderable-1.25U,8,SW_Push_45deg,
"KEY25, KEY26",MX-Solderable-1.75U,2,SW_Push_45deg,
KEY42,MX-Solderable-2U-ReversedStabilizers,1,SW_Push_45deg,
KEY43,MX-Solderable-2.25U-ReversedStabilizers,1,SW_Push_45deg,
"LED1, LED2",SK6812-MINI-E,2,SK6812,
"R1, R2",0402,2,5.1k,C25905
"R3, R4",0603,2,27,C25190
"R5, R7",0402,2,1k,C11702
"R6, R8",0402,2,10k,C25744
R9,0402,1,330,C11702
SW1,SW_SPST_TL3342,1,BOOT,
SW2,SW_SPST_TL3342,1,RESET,
U1,SOT-23-5,1,RT9013-33GB,C47773
U2,SOT-23-6,1,SRV05-4,C85364
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz,C2149204
